name,katakana_image
ー,hoka_06_yokobou.png
ア,katakana_01_a.png.png
イ,katakana_02_i.png.png
ウ,katakana_03_u.png.png
エ,katakana_04_e.png.png
オ,katakana_05_o.png.png
カ,katakana_11_ka.png.png
キ,katakana_12_ki.png.png
ク,katakana_13_ku.png.png
ケ,katakana_14_ke.png.png
コ,katakana_15_ko.png.png
ガ,katakana_16_ga.png.png
ギ,katakana_17_gi.png.png
グ,katakana_18_gu.png.png
ゲ,katakana_19_ge.png.png
ゴ,katakana_20_go.png.png
サ,katakana_21_sa.png.png
シ,katakana_22_shi.png.png
ス,katakana_23_su.png.png
セ,katakana_24_se.png.png
ソ,katakana_25_so.png.png
ザ,katakana_26_za.png.png
ジ,katakana_27_zi.png.png
ズ,katakana_28_zu.png.png
ゼ,katakana_29_ze.png.png
ゾ,katakana_30_zo.png.png
タ,katakana_31_ta.png.png
チ,katakana_32_chi.png.png
ツ,katakana_33_tsu.png.png
テ,katakana_34_te.png.png
ト,katakana_35_to.png.png
ダ,katakana_36_da.png.png
ヂ,katakana_37_di.png.png
ヅ,katakana_38_du.png.png
デ,katakana_39_de.png.png
ド,katakana_40_do.png.png
ナ,katakana_41_na.png.png
ニ,katakana_42_ni.png.png
ヌ,katakana_43_nu.png.png
ネ,katakana_44_ne.png.png
ノ,katakana_45_no.png.png
ハ,katakana_46_ha.png.png
ヒ,katakana_47_hi.png.png
フ,katakana_48_hu.png.png
ヘ,katakana_49_he.png.png
ホ,katakana_50_ho.png.png
バ,katakana_51_ba.png.png
ビ,katakana_52_bi.png.png
ブ,katakana_53_bu.png.png
ベ,katakana_54_be.png.png
ボ,katakana_55_bo.png.png
パ,katakana_56_pa.png.png
ピ,katakana_57_pi.png.png
プ,katakana_58_pu.png.png
ペ,katakana_59_pe.png.png
ポ,katakana_60_po.png.png
マ,katakana_61_ma.png.png
ミ,katakana_62_mi.png.png
ム,katakana_63_mu.png.png
メ,katakana_64_me.png.png
モ,katakana_65_mo.png.png
ヤ,katakana_66_ya.png.png
ユ,katakana_67_yu.png.png
ヨ,katakana_68_yo.png.png
ラ,katakana_69_ra.png.png
リ,katakana_70_ri.png.png
ル,katakana_71_ru.png.png
レ,katakana_72_re.png.png
ロ,katakana_73_ro.png.png
ワ,katakana_74_wa.png.png
ン,katakana_78_n.png.png
ャ,katakana_84_ya_small.png.png
ュ,katakana_85_yu_small.png.png
ョ,katakana_86_yo_small.png.png
ッ,katakana_87_tsu_small.png.png
