name,questions_image_file_name
ブラジル,Brazil.png
カナダ,Canada.png
チュウゴク,China.png
ドイツ,Germany.png
インド,India.png
イタリア,Italy.png
ニホン,Japan.png
ロシア,Russia.png
カンコク,South-Korea.png
アメリカ,United-States-of-America.png
ブタ,animalface_buta.png
コアラ,animalface_coala.png
イヌ,animalface_inu.png
キツネ,animalface_kitsune.png
クマ,animalface_kuma.png
ライオン,animalface_lion.png
ネコ,animalface_neko.png
リス,animalface_risu.png
サル,animalface_saru.png
ウサギ,animalface_usagi.png
ショクパン,bread_syokupan.png
アメ,candy.png
カボチャ,kabocha.png
キュウリ,kyuuri_cucumber.png
ニンジン,ninjin_carrot.png
オクラ,okura_gombo.png
ピーマン,piman_greenpepper.png
ポテチ,potatochips.png
グミ,sweets_gumi.png
アイス,sweets_icecandy.png
ホットケーキ,sweets_pancake.png
ポッキー,sweets_pocky.png
ラムネ,sweets_ramune.png
ケーキ,sweets_shortcake.png
タマネギ,tamanegi_onion .png
トマト,tomato_red.png
チョコ,valentinesday_itachoco2.png
キャベツ,vegetable_cabbage2.png
コーン,vegetable_corn.png
ナス,vegetable_kyouyasai_kamonasu.png
